Emp_ID, Name,Gender,Age,City,Department,Salary,Email
1, Tariq,Male,47.0,Karachi, Sales ,123609.72,tariq76@gmail.com
2, Hina,Female,26.0,Quetta,HR,125683.94,hina90@gmail.com
3, Usman,Male,36.0,Lahore,Sales,,usman71@gmail.com
4, Sana,Female,21.0,Quetta,Finance,147901.41,sana72@gmail.com
5, Ayesha,Male,40.0,lahore,HR,123880.8,ayesha25@gmail.com
6, Ahmed,Male,,Quetta,Finance,50115.7,ahmed33@gmail.com
7, Bilal,Female,60.0,Peshawar,Finance,32984.18,bilal93@gmail.com
8, Ahmed,Female,,Quetta,IT,,ahmed89@gmail.com
9, Usman,Male,,Quetta,Sales,,usman35@gmail.com
10, Sara,Female,,Islamabad,Finance,127273.37,sara73@gmail.com
11, Ahmed,Female,,Karachi,Finance,125917.01,ahmed48@gmail.com
12, Ahmed,Male,,Quetta,Finance,43153.97,ahmed44@gmail.com
13, Sana,Male,49.0,Karachi,Sales,128192.85,sana54@gmail.com
14, Ali,Female,,Peshawar,HR,133554.55,ali88@gmail.com
15, Usman,Female,,Islamabad,Marketing,39515.87,usman3@gmail.com
16, Ahmed,Female,,Quetta,Sales,,ahmed40@gmail.com
17, Usman,Female,,Lahore,IT,132153.37,usman15@gmail.com
18, Bilal,Male,,Quetta,IT,149944.07,bilal71@gmail.com
19, Sara,Female,,Karachi,HR,,sara96@gmail.com
20, Tariq,Male,,Lahore, HR ,,tariq17@gmail.com
21, Ali,Male,54.0,Quetta, HR ,,ali73@gmail.com
22, Ayesha,Female,,Lahore,Finance,,ayesha7@gmail.com
23, Sana,Female,,Quetta,IT,,sana3@gmail.com
24, Sara,Female,34.0,Peshawar,IT,,sara9@gmail.com
25, Sana,Female,,Lahore,IT,,sana36@gmail.com
26, Zara,Female,,peshawar,Marketing,,zara40@gmail.com
27, Usman,Female,,Quetta,Finance,,usman14@gmail.com
28, Sana,Male,53.0,Peshawar,Finance,,sana94@gmail.com
29, Hina,Female,58.0,Quetta, IT ,109092.38,hina73@gmail.com
30, Sara,Female,45.0,Peshawar,Marketing,,sara51@gmail.com
31, Ayesha,Male,50.0,Lahore,Marketing,,ayesha35@gmail.com
32, Ali,Male,24.0,Islamabad,Marketing,59340.53,ali86@gmail.com
